code,tradeStatus,name
601368,1,绿城水务
601369,1,陕鼓动力
601375,1,中原证券
601377,1,兴业证券
601388,1,怡球资源
601390,1,中国中铁
601398,1,工商银行
601399,1,国机重装
601456,1,国联民生
601500,1,通用股份
601512,1,中新集团
601515,1,衢州东峰
601518,1,吉林高速
601519,1,大智慧
601528,1,瑞丰银行
601555,1,东吴证券
601566,1,九牧王
601567,1,三星电气
601568,1,北元化工
601577,1,长沙银行
601579,1,会稽山
601588,1,北辰实业
601595,1,上海电影
601598,1,中国外运
601599,1,浙文影业
601600,1,中国铝业
601601,1,中国太保
601606,1,长城军工
601607,1,上海医药
601608,1,中信重工
601609,1,金田股份
601611,1,中国核建
601615,1,明阳智能
601616,1,广电电气
601618,1,中国中冶
601619,1,嘉泽新能
601628,1,中国人寿
601633,1,长城汽车
601636,1,旗滨集团
601658,1,邮储银行
601665,1,齐鲁银行
601666,1,平煤股份
601668,1,中国建筑
601669,1,中国电建
601677,1,明泰铝业
601678,1,滨化股份
601686,1,友发集团
601688,1,华泰证券
601689,1,拓普集团
601696,1,中银证券
601698,1,中国卫通
601699,1,潞安环能
601700,1,风范股份
601702,1,华峰铝业
601717,1,中创智领
601718,1,ST际华
601727,1,上海电气
601728,1,中国电信
601766,1,中国中车
601777,1,千里科技
601778,1,晶科科技
601788,1,光大证券
601789,1,宁波建工
601798,1,蓝科高新
601799,1,星宇股份
601800,1,中国交建
601801,1,皖新传媒
601808,1,中海油服
601811,1,新华文轩
601816,1,京沪高铁
601818,1,光大银行
601825,1,沪农商行
601827,1,三峰环境
601828,1,美凯龙
601838,1,成都银行
601857,1,中国石油
601858,1,中国科传
601860,1,紫金银行
601865,1,福莱特
601866,1,中远海发
601868,1,中国能建
601869,1,长飞光纤
601872,1,招商轮船
601877,1,正泰电器
601878,1,浙商证券
601880,1,辽港股份
601881,1,中国银河
601882,1,海天精工
601886,1,江河集团
601888,1,中国中免
601890,1,亚星锚链
601898,1,中煤能源
601899,1,紫金矿业
601900,1,南方传媒
601901,1,方正证券
601908,1,京运通
601916,1,浙商银行
601918,1,新集能源
601919,1,中远海控
601921,1,浙版传媒
601928,1,凤凰传媒
601929,1,吉视传媒
601933,1,永辉超市
601939,1,建设银行
601949,1,中国出版
601952,1,苏垦农发
601956,1,东贝集团
601958,1,金钼股份
601963,1,重庆银行
601965,1,中国汽研
601966,1,玲珑轮胎
601968,1,宝钢包装
601969,1,海南矿业
601975,1,招商南油
601985,1,中国核电
601988,1,中国银行
601989,1,中国重工
601990,1,南京证券
601991,1,大唐发电
601992,1,金隅集团
601995,1,中金公司
601996,1,丰林集团
601997,1,贵阳银行
601998,1,中信银行
601999,1,出版传媒
603000,1,人民网
603001,1,奥康国际
603002,1,宏昌电子
603003,1,退市龙宇
603004,1,鼎龙科技
603005,1,晶方科技
603006,1,联明股份
603007,1,顺景科技
603008,1,ST喜临门
603009,1,北特科技
603010,1,万盛股份
603011,1,合锻智能
603012,1,创力集团
603013,1,亚普股份
603015,1,弘讯科技
603016,1,新宏泰
603017,1,中衡设计
603018,1,华设集团
603019,1,中科曙光
603020,1,爱普股份
603021,1,*ST华鹏
603022,1,新通联
603023,1,威帝股份
603025,1,大豪科技
603026,1,石大胜华
603027,1,千禾味业
603028,1,赛福天
603029,1,天鹅股份
603030,1,全筑股份
603031,1,安孚科技
